STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives,Ozone
KY,2012,98873952,4503727,527961,7121559,0,7,8,0,0,0,0.048222052
KY,2013,97644549,4133816,505876,7686202,0,10,7,0,0,0,0.041632956
KY,2014,98031780,4632601,457360,7387400,0,11,6,0,0,0,0.042985505
KY,2015,89054690,4307180,411408,5947142,0,9,6,0,0,0,0.042264596
KY,2016,82977455,3761758,374323,4249193,0,7,6,0,0,0,0.042548911
KY,2017,73491073,3598292,320824,6472816,0,6,6,0,0,0,0.041757033
KY,2018,77458006,3711271,330434,4689015,0,6,8,0,0,0,0.040965556
LA,2012,129722804,5487530,2397855,3131129,0,14,6,3,0,0,0.040802736
LA,2013,128131425,5463144,2532078,883796,0,12,6,3,0,0,0.037876486
LA,2014,128757921,5601166,2318439,776088,0,12,5,3,0,0,0.037093083
LA,2015,128910401,5340578,3124836,738352,0,12,3,3,0,0,0.037366227
LA,2016,130607503,5431698,2093524,417851,0,11,4,3,0,0,0.038477515
LA,2017,132799235,5447852,1560107,458580,0,8,4,3,0,0,0.037303792
LA,2018,136071325,6293949,1851399,568499,0,8,4,3,0,0,0.036596197
MA,2012,14983432,1196537,59724,97554,0,9,7,7,0,0,0.043854588
MA,2013,15563630,1083970,69454,83111,0,10,7,7,0,0,0.041819157
MA,2014,13813711,1009696,65657,108905,0,11,10,7,0,0,0.039772737
MA,2015,14238573,1002330,60277,66553,0,11,10,7,0,0,0.040906333
MA,2016,13527154,949983,57353,60075,0,13,10,6,0,0,0.041899067
MA,2017,12969337,902078,52995,64896,0,17,9,6,0,0,0.0406
MA,2018,10663341,877780,46859,62332,0,16,9,6,0,0,0.040123
ME,2012,4482531,442262,121773,143131,0,10,6,1,0,0,0.037687175
ME,2013,4032788,337144,62118,138186,0,11,6,1,0,0,0.037381667
ME,2014,4194246,338081,56715,137558,0,11,6,0,0,0,0.036122222
ME,2015,3585481,305008,42486,146032,0,12,6,0,0,0,0.036330407
ME,2016,3232391,280196,38312,134254,0,11,5,0,0,0,0.035682063
ME,2017,2630824,267126,39733,134250,0,11,5,0,0,0,0.036296021
ME,2018,2765664,257792,39141,128655,0,12,5,0,0,0,0.037427333
MD,2012,23601775,1402719,121815,0,0,11,13,12,0,0,0.049450817
MD,2013,21784139,1330646,109912,0,0,12,11,11,0,0,0.0449311
MD,2014,24082911,1443827,119116,0,0,12,12,11,0,0,0.044714883
MD,2015,21436216,1249281,98529,0,0,13,11,10,0,0,0.046127933
MD,2016,21310961,1282338,99831,0,0,13,9,10,0,0,0.046113508
MD,2017,16451006,1317295,72071,0,0,12,8,10,0,0,0.044068583
MD,2018,21167143,1264167,80066,0,0,12,8,9,0,0,0.042962433
MI,2012,86702561,5336041,366613,139646,0,3,4,10,0,0,0.0491358
MI,2013,86550707,5586197,353749,45773,0,3,4,8,0,0,0.044542078
MI,2014,82699993,5421273,330008,74147,0,3,4,8,0,0,0.043429556
MI,2015,84479047,5574449,332773,68719,0,6,4,8,0,0,0.0436624
MI,2016,78025779,5053373,271911,44004,0,6,4,8,0,0,0.043899302
MI,2017,77149826,5059254,259647,77812,0,5,5,8,0,0,0.04098324
MI,2018,80126355,5066172,279857,30342,0,5,5,8,0,0,0.040809473
MS,2012,32885297,2264700,1519285,0,0,10,2,2,0,0,0.044226767
MS,2013,32335211,2238509,1334771,0,0,10,3,1,0,0,0.040466067
MS,2014,34415847,2202670,1200217,0,0,9,3,1,0,0,0.040014767
MS,2015,35332765,2140828,1443999,0,0,9,2,1,0,0,0.038505067
MS,2016,36295814,2181377,1432988,0,0,8,2,1,0,0,0.0409935
MS,2017,34324395,2271937,1589113,0,0,8,2,1,0,0,0.038317233
MS,2018,36716338,2386394,1236904,0,0,9,2,1,0,0,0.0399461
MO,2012,86003625,1839248,758133,296442,0,7,6,1,0,0,0.05088542
MO,2013,87289690,1676023,739760,298193,0,7,5,1,0,0,0.044360826
MO,2014,84354810,1662850,824138,326229,0,9,6,1,0,0,0.042777957
MO,2015,77714158,1640909,887448,427188,0,9,6,1,0,0,0.04163971
MO,2016,72888768,1641938,794518,58260,0,10,4,1,0,0,0.040954659
MO,2017,79109488,1656937,730627,5212,0,10,6,0,0,0,0.04369379
MO,2018,76718134,1646436,580773,185827,0,10,6,0,0,0,0.043296871
MT,2012,20641088,456949,87893,0,0,9,9,0,0,0,0.041792625
MT,2013,21439769,367015,91817,0,0,7,9,0,0,0,0.040670367
MT,2014,22054585,406595,96523,0,0,7,9,0,0,0,0.038956833
MT,2015,22596264,453092,97662,0,0,8,9,0,0,0,0.040519958
MT,2016,20661798,356115,89273,0,0,8,9,0,0,0,0.038998625
MT,2017,19707625,314809,84666,0,0,9,9,0,0,0,0.044042818
MT,2018,19396913,344335,82483,0,0,8,9,0,0,0,0.043010583
MT,2012,20641088,456949,87893,0,0,9,9,0,0,0,0.041792625
MT,2013,21439769,367015,91817,0,0,7,9,0,0,0,0.040670367
MT,2014,22054585,406595,96523,0,0,7,9,0,0,0,0.038956833
MT,2015,22596264,453092,97662,0,0,8,9,0,0,0,0.040519958
MT,2016,20661798,356115,89273,0,0,8,9,0,0,0,0.038998625
MT,2017,19707625,314809,84666,0,0,9,9,0,0,0,0.044042818
MT,2018,19396913,344335,82483,0,0,8,9,0,0,0,0.043010583
NE,2012,31018718,1114917,134984,0,0,7,9,4,0,0,0.046213778
NE,2013,32528945,1277553,144247,0,0,6,8,4,0,0,0.040497
NE,2014,31062917,1158105,135190,0,0,5,8,4,0,0,0.040344429
NE,2015,29908153,1294279,130436,0,0,5,11,4,0,0,0.040872128
NE,2016,27619285,1199519,117471,0,0,5,10,4,0,0,0.040405067
NE,2017,27892764,1108669,116528,0,0,4,11,4,0,0,0.038855733
NE,2018,30233758,1234688,125940,0,0,4,12,4,0,0,0.038139467
NV,2012,17826454,496772,32111,0,0,10,3,2,0,0,0.048939163
NV,2013,18775510,463918,37835,0,0,11,3,2,0,0,0.047109061
NV,2014,19236492,538342,43309,0,0,12,3,2,0,0,0.047379225
NV,2015,17760630,471791,25524,0,0,11,3,2,0,0,0.046326284
NV,2016,17054984,499520,22532,0,0,10,3,2,0,0,0.046248076
NV,2017,15939566,366031,20297,0,0,13,3,2,0,0,0.0465385
NV,2018,16649311,432306,23034,0,0,12,2,2,0,0,0.047419156
NH,2012,4505405,284394,21371,0,0,11,4,3,0,0,0.041659306
NH,2013,3607972,307094,21202,0,0,12,3,3,0,0,0.040219306
NH,2014,3502545,276135,17655,0,0,13,3,3,0,0,0.039470306
NH,2015,3719015,284444,15802,0,0,12,3,3,0,0,0.039713278
NH,2016,2589861,297830,11081,0,0,12,3,3,0,0,0.039185806
NH,2017,2066720,316978,10193,0,0,12,2,3,0,0,0.038838167
NH,2018,2365246,346858,11679,0,0,19,2,3,0,0,0.039102194
NJ,2012,21814712,2652019,60020,839587,0,13,9,5,0,0,0.045475118
NJ,2013,20982998,2583661,57899,980614,0,14,9,4,0,0,0.042811765
NJ,2014,23815406,2506996,63543,732603,0,14,9,3,0,0,0.041987373
NJ,2015,24981706,2459576,60197,632763,0,15,9,3,0,0,0.043849014
NJ,2016,26700463,2292652,59419,35575,0,14,9,3,0,0,0.042703653
NJ,2017,23613618,2112771,56798,79242,0,14,9,3,0,0,0.040170137
NJ,2018,23525530,1951383,54942,40939,0,15,10,2,0,0,0.040097882
NM,2012,37529212,425206,156159,155136,0,10,10,0,0,0,0.047948346
NM,2013,37890759,382803,148671,97960,0,10,9,0,0,0,0.046715062
NM,2014,34003709,331084,131842,108686,0,8,10,0,0,0,0.044306287
NM,2015,33763121,406460,129307,90305,0,8,11,0,0,0,0.044488829
NM,2016,29642726,320696,110361,44421,0,8,11,0,0,0,0.046351697
NM,2017,29187918,294671,115072,37886,0,8,11,0,0,0,0.047265683
NM,2018,26092754,345325,88219,36895,0,7,11,0,0,0,0.04854
NY,2012,37142402,1587567,67802,0,0,11,19,11,0,0,0.040877333
NY,2013,35461423,1501297,66313,0,0,13,18,9,0,0,0.039956385
NY,2014,36008485,1515629,137351,0,0,12,18,9,0,0,0.038954031
NY,2015,35213386,1459690,55394,0,0,13,15,9,0,0,0.040114698
NY,2016,32511695,1362805,48874,0,0,13,15,9,0,0,0.040814073
NY,2017,27033104,1351052,41362,0,0,14,15,9,0,0,0.039371677
NY,2018,29836819,1267307,42640,0,0,15,14,9,0,0,0.039713129
NC,2012,59757499,435931,374837,0,0,12,17,6,0,0,0.045276681
NC,2013,58214745,351815,270236,0,0,13,17,3,0,0,0.040589099
NC,2014,60095259,371892,280295,0,0,14,12,3,0,0,0.043474877
NC,2015,55864303,339930,239811,0,0,14,12,3,0,0,0.043912667
NC,2016,55212348,337740,230756,0,0,13,11,3,0,0,0.044423958
NC,2017,50936585,319458,216204,0,0,13,11,3,0,0,0.042753758
NC,2018,52056727,310039,205281,0,0,16,11,3,0,0,0.042699392
ND,2012,36414357,174008,158737,0,0,7,12,0,0,0,0.043595833
ND,2013,35334547,213456,151714,0,0,6,10,0,0,0,0.041798037
ND,2014,34796533,144686,152622,0,0,6,9,0,0,0,0.039820407
ND,2015,37533586,188692,156554,0,0,6,9,0,0,0,0.042511788
ND,2016,36983202,159920,149731,0,0,6,9,0,0,0,0.038131697
ND,2017,36772887,299098,148798,0,0,6,9,0,0,0,0.040802889
ND,2018,39041450,169023,153786,0,0,6,8,0,0,0,0.041941256
OH,2012,108808862,1227811,841533,0,0,4,6,4,0,0,0.04902551
OH,2013,113331166,1198949,850087,0,0,5,6,4,0,0,0.042429582
OH,2014,111883495,1299228,898645,0,0,5,6,4,0,0,0.042883033
OH,2015,97336368,1054992,617872,0,0,5,5,4,0,0,0.043310797
OH,2016,93873298,987543,668018,0,0,5,7,4,0,0,0.044767586
OH,2017,94212502,991191,666335,0,0,4,6,4,0,0,0.042456281
OH,2018,90884528,924515,643921,0,0,4,6,4,0,0,0.042335282
OK,2012,65777100,711635,1711635,0,0,9,12,4,0,0,0.049365813
OK,2013,63332586,1037873,1792028,0,0,11,15,4,0,0,0.044377627
OK,2014,61707675,851278,1931443,0,0,11,11,4,0,0,0.043243773
OK,2015,58746925,777622,2007579,0,0,13,11,4,0,0,0.041990972
OK,2016,54332966,776781,1844096,0,0,15,11,4,0,0,0.042449074
OK,2017,49255301,761427,2155494,0,0,14,11,3,0,0,0.042880481
OK,2018,52124663,806791,2146966,0,0,13,10,3,0,0,0.042340427
OR,2012,8825709,108590,58950,0,0,13,10,7,0,0,0.039922233
OR,2013,11063257,94276,35053,0,0,16,10,7,0,0,0.036972833
OR,2014,10040937,90292,31354,0,0,16,9,6,0,0,0.03801997
OR,2015,10641403,82552,23947,0,0,15,8,5,0,0,0.041077242
OR,2016,9811265,77894,17868,0,0,16,8,5,0,0,0.035676273
OR,2017,9730527,117317,17501,0,0,24,9,5,0,0,0.039871545
OR,2018,10574390,80124,17235,0,0,24,6,5,0,0,0.037250056
PA,2012,121277456,1654045,514169,407457,0,8,15,7,0,0,0.046024594
PA,2013,121724156,1655928,490437,294599,0,7,15,7,0,0,0.043116126
PA,2014,115420548,1676873,455459,277990,0,8,14,6,0,0,0.042373994
PA,2015,106500320,1588828,377547,308212,0,8,14,6,0,0,0.043875226
PA,2016,98685459,1504289,324819,274594,0,8,12,6,0,0,0.043498781
PA,2017,93276708,1463941,292633,453565,0,7,11,6,0,0,0.041936123
PA,2018,90824865,1420164,276728,170441,0,7,11,6,0,0,0.040468547
RI,2012,3427525,180508,1891,0,0,9,3,1,0,0,0.046755
RI,2013,2554179,174142,1484,0,0,10,3,1,0,0,0.045259222
RI,2014,2555622,169250,1485,0,0,13,3,1,0,0,0.043455111
RI,2015,2829518,163071,1660,0,0,14,4,1,0,0,0.045234556
RI,2016,2601338,155431,1461,0,0,12,5,1,0,0,0.043523481
RI,2017,2966472,153355,1693,0,0,14,5,1,0,0,0.040969111
RI,2018,3258328,147446,1890,0,0,14,5,1,0,0,0.042435111
SC,2012,38351150,223743,297182,0,0,9,12,2,0,0,0.042021029
SC,2013,32952572,139528,172875,0,0,9,10,0,0,0,0.03742329
SC,2014,37146631,157362,197086,0,0,11,11,0,0,0,0.040436079
SC,2015,34246335,137345,172357,0,0,10,11,0,0,0,0.040263651
SC,2016,32740994,137979,161003,0,0,10,11,0,0,0,0.042312639
