,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives
112,KS,2012,42097928,2642766,430732,/,0.0,7.0,9.0,2.0,0.0,0.0
113,KS,2013,43240294,2486994,738229,/,0.0,7.0,9.0,2.0,0.0,0.0
114,KS,2014,42493127,2525914,780152,/,0.0,7.0,9.0,2.0,0.0,0.0
115,KS,2015,38392580,2050084,676600,/,0.0,7.0,9.0,2.0,0.0,0.0
116,KS,2016,36813550,1854976,844480,/,0.0,7.0,8.0,2.0,0.0,0.0
117,KS,2017,33081451,1562528,849907,/,0.0,7.0,8.0,2.0,0.0,0.0
118,KS,2018,34535262,1807754,837423,/,0.0,7.0,7.0,2.0,0.0,0.0
119,KY,2012,98873952,4503727,527961,7121559,0.0,7.0,8.0,0.0,0.0,0.0
120,KY,2013,97644549,4133816,505876,7686202,0.0,10.0,7.0,0.0,0.0,0.0
121,KY,2014,98031780,4632601,457360,7387400,0.0,11.0,6.0,0.0,0.0,0.0
122,KY,2015,89054690,4307180,411408,5947142,0.0,9.0,6.0,0.0,0.0,0.0
123,KY,2016,82977455,3761758,374323,4249193,0.0,7.0,6.0,0.0,0.0,0.0
124,KY,2017,73491073,3598292,320824,6472816,0.0,6.0,6.0,0.0,0.0,0.0
125,KY,2018,77458006,3711271,330434,4689015,0.0,6.0,8.0,0.0,0.0,0.0
126,LA,2012,129722804,5487530,2397855,3131129,0.0,14.0,6.0,3.0,0.0,0.0
127,LA,2013,128131425,5463144,2532078,883796,0.0,12.0,6.0,3.0,0.0,0.0
128,LA,2014,128757921,5601166,2318439,776088,0.0,12.0,5.0,3.0,0.0,0.0
129,LA,2015,128910401,5340578,3124836,738352,0.0,12.0,3.0,3.0,0.0,0.0
130,LA,2016,130607503,5431698,2093524,417851,0.0,11.0,4.0,3.0,0.0,0.0
131,LA,2017,132799235,5447852,1560107,458580,0.0,8.0,4.0,3.0,0.0,0.0
132,LA,2018,136071325,6293949,1851399,568499,0.0,8.0,4.0,3.0,0.0,0.0
133,MA,2012,14983432,1196537,59724,97554,0.0,9.0,7.0,7.0,0.0,0.0
134,MA,2013,15563630,1083970,69454,83111,0.0,10.0,7.0,7.0,0.0,0.0
135,MA,2014,13813711,1009696,65657,108905,0.0,11.0,10.0,7.0,0.0,0.0
136,MA,2015,14238573,1002330,60277,66553,0.0,11.0,10.0,7.0,0.0,0.0
137,MA,2016,13527154,949983,57353,60075,0.0,13.0,10.0,6.0,0.0,0.0
138,MA,2017,12969337,902078,52995,64896,0.0,17.0,9.0,6.0,0.0,0.0
139,MA,2018,10663341,877780,46859,62332,0.0,16.0,9.0,6.0,0.0,0.0
140,ME,2012,4482531,442262,121773,143131,0.0,10.0,6.0,1.0,0.0,0.0
141,ME,2013,4032788,337144,62118,138186,0.0,11.0,6.0,1.0,0.0,0.0
142,ME,2014,4194246,338081,56715,137558,0.0,11.0,6.0,0.0,0.0,0.0
143,ME,2015,3585481,305008,42486,146032,0.0,12.0,6.0,0.0,0.0,0.0
144,ME,2016,3232391,280196,38312,134254,0.0,11.0,5.0,0.0,0.0,0.0
145,ME,2017,2630824,267126,39733,134250,0.0,11.0,5.0,0.0,0.0,0.0
146,ME,2018,2765664,257792,39141,128655,0.0,12.0,5.0,0.0,0.0,0.0
147,MD,2012,23601775,1402719,121815,/,0.0,11.0,13.0,12.0,0.0,0.0
148,MD,2013,21784139,1330646,109912,/,0.0,12.0,11.0,11.0,0.0,0.0
149,MD,2014,24082911,1443827,119116,/,0.0,12.0,12.0,11.0,0.0,0.0
150,MD,2015,21436216,1249281,98529,/,0.0,13.0,11.0,10.0,0.0,0.0
151,MD,2016,21310961,1282338,99831,/,0.0,13.0,9.0,10.0,0.0,0.0
152,MD,2017,16451006,1317295,72071,/,0.0,12.0,8.0,10.0,0.0,0.0
153,MD,2018,21167143,1264167,80066,/,0.0,12.0,8.0,9.0,0.0,0.0
154,MI,2012,86702561,5336041,366613,139646,0.0,3.0,4.0,10.0,0.0,0.0
155,MI,2013,86550707,5586197,353749,45773,0.0,3.0,4.0,8.0,0.0,0.0
156,MI,2014,82699993,5421273,330008,74147,0.0,3.0,4.0,8.0,0.0,0.0
157,MI,2015,84479047,5574449,332773,68719,0.0,6.0,4.0,8.0,0.0,0.0
158,MI,2016,78025779,5053373,271911,44004,0.0,6.0,4.0,8.0,0.0,0.0
159,MI,2017,77149826,5059254,259647,77812,0.0,5.0,5.0,8.0,0.0,0.0
160,MI,2018,80126355,5066172,279857,30342,0.0,5.0,5.0,8.0,0.0,0.0
161,MS,2012,32885297,2264700,1519285,/,0.0,10.0,2.0,2.0,0.0,0.0
162,MS,2013,32335211,2238509,1334771,/,0.0,10.0,3.0,1.0,0.0,0.0
163,MS,2014,34415847,2202670,1200217,/,0.0,9.0,3.0,1.0,0.0,0.0
164,MS,2015,35332765,2140828,1443999,/,0.0,9.0,2.0,1.0,0.0,0.0
165,MS,2016,36295814,2181377,1432988,/,0.0,8.0,2.0,1.0,0.0,0.0
166,MS,2017,34324395,2271937,1589113,/,0.0,8.0,2.0,1.0,0.0,0.0
167,MS,2018,36716338,2386394,1236904,/,0.0,9.0,2.0,1.0,0.0,0.0
168,MO,2012,86003625,1839248,758133,296442,0.0,7.0,6.0,1.0,0.0,0.0
169,MO,2013,87289690,1676023,739760,298193,0.0,7.0,5.0,1.0,0.0,0.0
170,MO,2014,84354810,1662850,824138,326229,0.0,9.0,6.0,1.0,0.0,0.0
171,MO,2015,77714158,1640909,887448,427188,0.0,9.0,6.0,1.0,0.0,0.0
172,MO,2016,72888768,1641938,794518,58260,0.0,10.0,4.0,1.0,0.0,0.0
173,MO,2017,79109488,1656937,730627,5212,0.0,10.0,6.0,0.0,0.0,0.0
174,MO,2018,76718134,1646436,580773,185827,0.0,10.0,6.0,0.0,0.0,0.0
175,MT,2012,20641088,456949,87893,/,0.0,9.0,9.0,0.0,0.0,0.0
176,MT,2013,21439769,367015,91817,/,0.0,7.0,9.0,0.0,0.0,0.0
177,MT,2014,22054585,406595,96523,/,0.0,7.0,9.0,0.0,0.0,0.0
178,MT,2015,22596264,453092,97662,/,0.0,8.0,9.0,0.0,0.0,0.0
179,MT,2016,20661798,356115,89273,/,0.0,8.0,9.0,0.0,0.0,0.0
180,MT,2017,19707625,314809,84666,/,0.0,9.0,9.0,0.0,0.0,0.0
181,MT,2018,19396913,344335,82483,/,0.0,8.0,9.0,0.0,0.0,0.0
182,MT,2012,20641088,456949,87893,,0.0,9.0,9.0,0.0,0.0,0.0
183,MT,2013,21439769,367015,91817,,0.0,7.0,9.0,0.0,0.0,0.0
184,MT,2014,22054585,406595,96523,,0.0,7.0,9.0,0.0,0.0,0.0
185,MT,2015,22596264,453092,97662,,0.0,8.0,9.0,0.0,0.0,0.0
186,MT,2016,20661798,356115,89273,,0.0,8.0,9.0,0.0,0.0,0.0
187,MT,2017,19707625,314809,84666,,0.0,9.0,9.0,0.0,0.0,0.0
188,MT,2018,19396913,344335,82483,,0.0,8.0,9.0,0.0,0.0,0.0
189,NE,2012,31018718,1114917,134984,,0.0,7.0,9.0,4.0,0.0,0.0
190,NE,2013,32528945,1277553,144247,,0.0,6.0,8.0,4.0,0.0,0.0
191,NE,2014,31062917,1158105,135190,,0.0,5.0,8.0,4.0,0.0,0.0
192,NE,2015,29908153,1294279,130436,,0.0,5.0,11.0,4.0,0.0,0.0
193,NE,2016,27619285,1199519,117471,,0.0,5.0,10.0,4.0,0.0,0.0
194,NE,2017,27892764,1108669,116528,,0.0,4.0,11.0,4.0,0.0,0.0
195,NE,2018,30233758,1234688,125940,,0.0,4.0,12.0,4.0,0.0,0.0
196,NV,2012,17826454,496772,32111,,0.0,10.0,3.0,2.0,0.0,0.0
197,NV,2013,18775510,463918,37835,,0.0,11.0,3.0,2.0,0.0,0.0
198,NV,2014,19236492,538342,43309,,0.0,12.0,3.0,2.0,0.0,0.0
199,NV,2015,17760630,471791,25524,,0.0,11.0,3.0,2.0,0.0,0.0
200,NV,2016,17054984,499520,22532,,0.0,10.0,3.0,2.0,0.0,0.0
201,NV,2017,15939566,366031,20297,,0.0,13.0,3.0,2.0,0.0,0.0
202,NV,2018,16649311,432306,23034,,0.0,12.0,2.0,2.0,0.0,0.0
203,NH,2012,4505405,284394,21371,,0.0,11.0,4.0,3.0,0.0,0.0
204,NH,2013,3607972,307094,21202,,0.0,12.0,3.0,3.0,0.0,0.0
205,NH,2014,3502545,276135,17655,,0.0,13.0,3.0,3.0,0.0,0.0
206,NH,2015,3719015,284444,15802,,0.0,12.0,3.0,3.0,0.0,0.0
207,NH,2016,2589861,297830,11081,,0.0,12.0,3.0,3.0,0.0,0.0
208,NH,2017,2066720,316978,10193,,0.0,12.0,2.0,3.0,0.0,0.0
209,NH,2018,2365246,346858,11679,,0.0,19.0,2.0,3.0,0.0,0.0
210,NJ,2012,21814712,2652019,60020,839587,0.0,13.0,9.0,5.0,0.0,0.0
211,NJ,2013,20982998,2583661,57899,980614,0.0,14.0,9.0,4.0,0.0,0.0
212,NJ,2014,23815406,2506996,63543,732603,0.0,14.0,9.0,3.0,0.0,0.0
213,NJ,2015,24981706,2459576,60197,632763,0.0,15.0,9.0,3.0,0.0,0.0
214,NJ,2016,26700463,2292652,59419,35575,0.0,14.0,9.0,3.0,0.0,0.0
215,NJ,2017,23613618,2112771,56798,79242,0.0,14.0,9.0,3.0,0.0,0.0
216,NJ,2018,23525530,1951383,54942,40939,0.0,15.0,10.0,2.0,0.0,0.0
217,NM,2012,37529212,425206,156159,155136,0.0,10.0,10.0,0.0,0.0,0.0
218,NM,2013,37890759,382803,148671,97960,0.0,10.0,9.0,0.0,0.0,0.0
219,NM,2014,34003709,331084,131842,108686,0.0,8.0,10.0,0.0,0.0,0.0
220,NM,2015,33763121,406460,129307,90305,0.0,8.0,11.0,0.0,0.0,0.0
221,NM,2016,29642726,320696,110361,44421,0.0,8.0,11.0,0.0,0.0,0.0
222,NM,2017,29187918,294671,115072,37886,0.0,8.0,11.0,0.0,0.0,0.0
223,NM,2018,26092754,345325,88219,36895,0.0,7.0,11.0,0.0,0.0,0.0
224,NY,2012,37142402,1587567,67802,-,0.0,11.0,19.0,11.0,0.0,0.0
225,NY,2013,35461423,1501297,66313,-,0.0,13.0,18.0,9.0,0.0,0.0
226,NY,2014,36008485,1515629,137351,-,0.0,12.0,18.0,9.0,0.0,0.0
227,NY,2015,35213386,1459690,55394,-,0.0,13.0,15.0,9.0,0.0,0.0
228,NY,2016,32511695,1362805,48874,-,0.0,13.0,15.0,9.0,0.0,0.0
229,NY,2017,27033104,1351052,41362,-,0.0,14.0,15.0,9.0,0.0,0.0
230,NY,2018,29836819,1267307,42640,-,0.0,15.0,14.0,9.0,0.0,0.0
231,NC,2012,59757499,435931,374837,-,0.0,12.0,17.0,6.0,0.0,0.0
232,NC,2013,58214745,351815,270236,-,0.0,13.0,17.0,3.0,0.0,0.0
233,NC,2014,60095259,371892,280295,-,0.0,14.0,12.0,3.0,0.0,0.0
234,NC,2015,55864303,339930,239811,-,0.0,14.0,12.0,3.0,0.0,0.0
235,NC,2016,55212348,337740,230756,-,0.0,13.0,11.0,3.0,0.0,0.0
236,NC,2017,50936585,319458,216204,-,0.0,13.0,11.0,3.0,0.0,0.0
237,NC,2018,52056727,310039,205281,-,0.0,16.0,11.0,3.0,0.0,0.0
238,ND,2012,36414357,174008,158737,-,0.0,7.0,12.0,0.0,0.0,0.0
239,ND,2013,35334547,213456,151714,-,0.0,6.0,10.0,0.0,0.0,0.0
240,ND,2014,34796533,144686,152622,-,0.0,6.0,9.0,0.0,0.0,0.0
241,ND,2015,37533586,188692,156554,-,0.0,6.0,9.0,0.0,0.0,0.0
242,ND,2016,36983202,159920,149731,-,0.0,6.0,9.0,0.0,0.0,0.0
243,ND,2017,36772887,299098,148798,-,0.0,6.0,9.0,0.0,0.0,0.0
244,ND,2018,39041450,169023,153786,-,0.0,6.0,8.0,0.0,0.0,0.0
245,OH,2012,108808862,1227811,841533,-,0.0,4.0,6.0,4.0,0.0,0.0
246,OH,2013,113331166,1198949,850087,-,0.0,5.0,6.0,4.0,0.0,0.0
247,OH,2014,111883495,1299228,898645,-,0.0,5.0,6.0,4.0,0.0,0.0
248,OH,2015,97336368,1054992,617872,-,0.0,5.0,5.0,4.0,0.0,0.0
249,OH,2016,93873298,987543,668018,-,0.0,5.0,7.0,4.0,0.0,0.0
250,OH,2017,94212502,991191,666335,-,0.0,4.0,6.0,4.0,0.0,0.0
251,OH,2018,90884528,924515,643921,-,0.0,4.0,6.0,4.0,0.0,0.0
252,OK,2012,65777100,711635,1711635,,0.0,9.0,12.0,4.0,0.0,0.0
253,OK,2013,63332586,1037873,1792028,,0.0,11.0,15.0,4.0,0.0,0.0
254,OK,2014,61707675,851278,1931443,,0.0,11.0,11.0,4.0,0.0,0.0
255,OK,2015,58746925,777622,2007579,,0.0,13.0,11.0,4.0,0.0,0.0
256,OK,2016,54332966,776781,1844096,,0.0,15.0,11.0,4.0,0.0,0.0
257,OK,2017,49255301,761427,2155494,,0.0,14.0,11.0,3.0,0.0,0.0
258,OK,2018,52124663,806791,2146966,,0.0,13.0,10.0,3.0,0.0,0.0
259,OR,2012,8825709,108590,58950,,0.0,13.0,10.0,7.0,0.0,0.0
260,OR,2013,11063257,94276,35053,,0.0,16.0,10.0,7.0,0.0,0.0
261,OR,2014,10040937,90292,31354,,0.0,16.0,9.0,6.0,0.0,0.0
262,OR,2015,10641403,82552,23947,,0.0,15.0,8.0,5.0,0.0,0.0
263,OR,2016,9811265,77894,17868,,0.0,16.0,8.0,5.0,0.0,0.0
264,OR,2017,9730527,117317,17501,,0.0,24.0,9.0,5.0,0.0,0.0
265,OR,2018,10574390,80124,17235,,0.0,24.0,6.0,5.0,0.0,0.0
266,PA,2012,121277456,1654045,514169,407457,0.0,8.0,15.0,7.0,0.0,0.0
267,PA,2013,121724156,1655928,490437,294599,0.0,7.0,15.0,7.0,0.0,0.0
268,PA,2014,115420548,1676873,455459,277990,0.0,8.0,14.0,6.0,0.0,0.0
269,PA,2015,106500320,1588828,377547,308212,0.0,8.0,14.0,6.0,0.0,0.0
270,PA,2016,98685459,1504289,324819,274594,0.0,8.0,12.0,6.0,0.0,0.0
271,PA,2017,93276708,1463941,292633,453565,0.0,7.0,11.0,6.0,0.0,0.0
272,PA,2018,90824865,1420164,276728,170441,0.0,7.0,11.0,6.0,0.0,0.0
273,RI,2012,3427525,180508,1891,,0.0,9.0,3.0,1.0,0.0,0.0
274,RI,2013,2554179,174142,1484,,0.0,10.0,3.0,1.0,0.0,0.0
275,RI,2014,2555622,169250,1485,,0.0,13.0,3.0,1.0,0.0,0.0
276,RI,2015,2829518,163071,1660,,0.0,14.0,4.0,1.0,0.0,0.0
277,RI,2016,2601338,155431,1461,,0.0,12.0,5.0,1.0,0.0,0.0
278,RI,2017,2966472,153355,1693,,0.0,14.0,5.0,1.0,0.0,0.0
279,RI,2018,3258328,147446,1890,,0.0,14.0,5.0,1.0,0.0,0.0
280,SC,2012,38351150,223743,297182,,0.0,9.0,12.0,2.0,0.0,0.0
281,SC,2013,32952572,139528,172875,,0.0,9.0,10.0,0.0,0.0,0.0
282,SC,2014,37146631,157362,197086,,0.0,11.0,11.0,0.0,0.0,0.0
283,SC,2015,34246335,137345,172357,,0.0,10.0,11.0,0.0,0.0,0.0
284,SC,2016,32740994,137979,161003,,0.0,10.0,11.0,0.0,0.0,0.0
285,SC,2017,29349588,121817,142390,,0.0,10.0,10.0,0.0,0.0,0.0
286,SC,2018,33186542,124580,149179,,0.0,10.0,10.0,0.0,0.0,0.0
287,SD,2012,4011527,9709,17381,,0.0,11.0,6.0,0.0,0.0,0.0
288,SD,2013,4120759,9882,17064,,0.0,9.0,6.0,0.0,0.0,0.0
289,SD,2014,3973438,9359,16160,,0.0,8.0,6.0,0.0,0.0,0.0
290,SD,2015,2887027,5743,9870,,0.0,8.0,6.0,0.0,0.0,0.0
291,SD,2016,3584618,7949,13678,,0.0,8.0,6.0,0.0,0.0,0.0
292,SD,2017,3510990,7623,13681,,0.0,7.0,6.0,0.0,0.0,0.0
293,SD,2018,3814483,8401,14443,,0.0,7.0,6.0,0.0,0.0,0.0
294,TN,2012,47676941,378181,267153,,0.0,13.0,8.0,3.0,0.0,0.0
295,TN,2013,44278692,367638,219159,,0.0,13.0,9.0,3.0,0.0,0.0
296,TN,2014,46922528,397387,232696,,0.0,13.0,8.0,2.0,0.0,0.0
297,TN,2015,42745111,380573,204303,,0.0,14.0,8.0,2.0,0.0,0.0
298,TN,2016,44506290,440109,211198,,0.0,12.0,8.0,1.0,0.0,0.0
299,TN,2017,41691637,296353,191981,,0.0,13.0,7.0,1.0,0.0,0.0
300,TN,2018,35850746,239824,155595,,0.0,13.0,8.0,1.0,0.0,0.0
301,TX,2012,368923156,4661489,2638464,29501,0.0,11.0,15.0,11.0,0.0,0.0
302,TX,2013,382325465,4296603,2476208,26263,0.0,13.0,14.0,10.0,0.0,0.0
303,TX,2014,382047256,4543218,3646756,13611,0.0,13.0,14.0,13.0,0.0,0.0
304,TX,2015,371615241,4029956,3135715,10538,0.0,13.0,10.0,10.0,0.0,0.0
305,TX,2016,361882662,4527455,2362572,13776,0.0,12.0,9.0,10.0,0.0,0.0
306,TX,2017,365430543,3877930,2254594,10524,0.0,13.0,11.0,10.0,0.0,0.0
307,TX,2018,364771258,3863422,2062643,11048,0.0,13.0,10.0,10.0,0.0,0.0
308,UT,2012,36532737,468041,235496,,0.0,12.0,5.0,4.0,0.0,0.0
309,UT,2013,40024697,246932,250342,,0.0,12.0,5.0,4.0,0.0,0.0
310,UT,2014,39846411,246881,258140,,0.0,14.0,5.0,4.0,0.0,0.0
311,UT,2015,38444136,221702,222746,,0.0,15.0,7.0,4.0,0.0,0.0
312,UT,2016,32625912,210917,178204,,0.0,19.0,7.0,4.0,0.0,0.0
313,UT,2017,32547152,204635,141149,,0.0,21.0,8.0,4.0,0.0,0.0
