STATE,YEAR,Incentives,Laws and Regulations,State Incentives,Utility/Private Incentives,Programs,State Hybrid Incentives
NM,2018,0,7,11,0,0,0
NM,2019,0,10,10,0,0,0
NM,2020,0,10,10,0,0,0
NY,2012,0,11,19,11,0,0
NY,2013,0,13,18,9,0,0
NY,2014,0,12,18,9,0,0
NY,2015,0,13,15,9,0,0
NY,2016,0,13,15,9,0,0
NY,2017,0,14,15,9,0,0
NY,2018,0,15,14,9,0,0
NY,2019,0,15,14,7,0,0
NY,2020,0,14,11,6,0,0
NC,2012,0,12,17,6,0,0
NC,2013,0,13,17,3,0,0
NC,2014,0,14,12,3,0,0
NC,2015,0,14,12,3,0,0
NC,2016,0,13,11,3,0,0
NC,2017,0,13,11,3,0,0
NC,2018,0,16,11,3,0,0
NC,2019,0,17,11,3,0,0
NC,2020,0,17,11,3,0,0
ND,2012,0,7,12,0,0,0
ND,2013,0,6,10,0,0,0
ND,2014,0,6,9,0,0,0
ND,2015,0,6,9,0,0,0
ND,2016,0,6,9,0,0,0
ND,2017,0,6,9,0,0,0
ND,2018,0,6,8,0,0,0
ND,2019,0,8,7,0,0,0
ND,2020,0,8,7,0,0,0
OH,2012,0,4,6,4,0,0
OH,2013,0,5,6,4,0,0
OH,2014,0,5,6,4,0,0
OH,2015,0,5,5,4,0,0
OH,2016,0,5,7,4,0,0
OH,2017,0,4,6,4,0,0
OH,2018,0,4,6,4,0,0
OH,2019,0,5,5,4,0,0
OH,2020,0,5,4,0,0,0
OK,2012,0,9,12,4,0,0
OK,2013,0,11,15,4,0,0
OK,2014,0,11,11,4,0,0
OK,2015,0,13,11,4,0,0
OK,2016,0,15,11,4,0,0
OK,2017,0,14,11,3,0,0
OK,2018,0,13,10,3,0,0
OK,2019,0,12,10,3,0,0
OK,2020,0,12,9,3,0,0
OR,2012,0,13,10,7,0,0
OR,2013,0,16,10,7,0,0
OR,2014,0,16,9,6,0,0
OR,2015,0,15,8,5,0,0
OR,2016,0,16,8,5,0,0
OR,2017,0,24,9,5,0,0
OR,2018,0,24,6,5,0,0
OR,2019,0,26,6,5,0,0
OR,2020,0,28,5,5,0,0
PA,2012,0,8,15,7,0,0
PA,2013,0,7,15,7,0,0
PA,2014,0,8,14,6,0,0
PA,2015,0,8,14,6,0,0
PA,2016,0,8,12,6,0,0
PA,2017,0,7,11,6,0,0
PA,2018,0,7,11,6,0,0
PA,2019,0,8,10,6,0,0
PA,2020,0,8,10,4,0,0
RI,2012,0,9,3,1,0,0
RI,2013,0,10,3,1,0,0
RI,2014,0,13,3,1,0,0
RI,2015,0,14,4,1,0,0
RI,2016,0,12,5,1,0,0
RI,2017,0,14,5,1,0,0
RI,2018,0,14,5,1,0,0
RI,2019,0,14,5,1,0,0
RI,2020,0,14,4,1,0,0
SC,2012,0,9,12,2,0,0
SC,2013,0,9,10,0,0,0
SC,2014,0,11,11,0,0,0
SC,2015,0,10,11,0,0,0
SC,2016,0,10,11,0,0,0
SC,2017,0,10,10,0,0,0
SC,2018,0,10,10,0,0,0
SC,2019,0,10,10,0,0,0
SC,2020,0,10,9,0,0,0
SD,2012,0,11,6,0,0,0
SD,2013,0,9,6,0,0,0
SD,2014,0,8,6,0,0,0
SD,2015,0,8,6,0,0,0
SD,2016,0,8,6,0,0,0
SD,2017,0,7,6,0,0,0
SD,2018,0,7,6,0,0,0
SD,2019,0,7,6,0,0,0
SD,2020,0,7,6,0,0,0
TN,2012,0,13,8,3,0,0
TN,2013,0,13,9,3,0,0
TN,2014,0,13,8,2,0,0
TN,2015,0,14,8,2,0,0
TN,2016,0,12,8,1,0,0
TN,2017,0,13,7,1,0,0
TN,2018,0,13,8,1,0,0
TN,2019,0,13,6,1,0,0
TN,2020,0,13,4,1,0,0
TX,2012,0,11,15,11,0,0
TX,2013,0,13,14,10,0,0
TX,2014,0,13,14,13,0,0
TX,2015,0,13,10,10,0,0
TX,2016,0,12,9,10,0,0
TX,2017,0,13,11,10,0,0
TX,2018,0,13,10,10,0,0
TX,2019,0,12,10,10,0,0
TX,2020,0,12,9,9,0,0
UT,2012,0,12,5,4,0,0
UT,2013,0,12,5,4,0,0
UT,2014,0,14,5,4,0,0
UT,2015,0,15,7,4,0,0
UT,2016,0,19,7,4,0,0
UT,2017,0,21,8,4,0,0
UT,2018,0,22,8,4,0,0
UT,2019,0,20,8,4,0,0
UT,2020,0,20,8,4,0,0
VT,2012,0,9,5,10,0,0
VT,2013,0,10,5,10,0,0
VT,2014,0,10,5,10,0,0
VT,2015,0,9,5,10,0,0
VT,2016,0,9,5,9,0,0
VT,2017,0,9,5,10,0,0
VT,2018,0,11,4,10,0,0
VT,2019,0,16,5,9,0,0
VT,2020,0,15,5,8,0,0
VA,2012,0,19,14,5,0,0
VA,2013,0,20,14,4,0,0
VA,2014,0,19,14,3,0,0
VA,2015,0,18,12,3,0,0
VA,2016,0,18,11,3,0,0
VA,2017,0,18,11,2,0,0
VA,2018,0,17,11,2,0,0
VA,2019,0,16,11,2,0,0
VA,2020,0,19,11,2,0,0
WA,2012,0,27,13,8,0,0
WA,2013,0,28,12,7,0,0
WA,2014,0,30,13,6,0,0
WA,2015,0,30,14,6,0,0
WA,2016,0,30,10,5,0,0
WA,2017,0,28,10,5,0,0
WA,2018,0,30,10,4,0,0
WA,2019,0,32,11,3,0,0
WA,2020,0,30,11,2,0,0
WV,2012,0,8,4,1,0,0
WV,2013,0,7,5,1,0,0
WV,2014,0,7,5,1,0,0
WV,2015,0,8,5,1,0,0
WV,2016,0,8,5,1,0,0
WV,2017,0,9,5,1,0,0
WV,2018,0,8,3,1,0,0
WV,2019,0,8,3,1,0,0
WV,2020,0,8,3,0,0,0
WI,2012,0,12,11,11,0,0
WI,2013,0,11,11,11,0,0
WI,2014,0,11,10,11,0,0
WI,2015,0,11,10,11,0,0
WI,2016,0,11,10,12,0,0
WI,2017,0,13,9,12,0,0
WI,2018,0,13,9,12,0,0
WI,2019,0,12,9,12,0,0
WI,2020,0,12,9,11,0,0
WY,2012,0,5,2,1,0,0
WY,2013,0,7,3,1,0,0
WY,2014,0,6,3,1,0,0
WY,2015,0,9,4,3,0,0
WY,2016,0,8,4,3,0,0
WY,2017,0,8,4,3,0,0
WY,2018,0,7,3,3,0,0
WY,2019,0,7,3,3,0,0
WY,2020,0,7,3,3,0,0
