,STATE,Year,CO2,CH4,N2O,Fluorinated GHG,Laws and Regulations,State Incentives,Utility/Private Incentives,Ozone,cluster
129,MA,2015,14238573,1002330,60277,66553,11,10,7,0.040906333,1
130,MA,2016,13527154,949983,57353,60075,13,10,6,0.041899067,1
131,MA,2017,12969337,902078,52995,64896,17,9,6,0.0406,1
132,MA,2018,10663341,877780,46859,62332,16,9,6,0.040123,1
133,ME,2012,4482531,442262,121773,143131,10,6,1,0.037687175,1
134,ME,2013,4032788,337144,62118,138186,11,6,1,0.037381667,1
135,ME,2014,4194246,338081,56715,137558,11,6,0,0.036122222,1
136,ME,2015,3585481,305008,42486,146032,12,6,0,0.036330407,1
137,ME,2016,3232391,280196,38312,134254,11,5,0,0.035682063,1
138,ME,2017,2630824,267126,39733,134250,11,5,0,0.036296021,1
139,ME,2018,2765664,257792,39141,128655,12,5,0,0.037427333,1
140,MD,2012,23601775,1402719,121815,,11,13,12,0.049450817,1
141,MD,2013,21784139,1330646,109912,,12,11,11,0.0449311,1
142,MD,2014,24082911,1443827,119116,,12,12,11,0.044714883,1
143,MD,2015,21436216,1249281,98529,,13,11,10,0.046127933,1
144,MD,2016,21310961,1282338,99831,,13,9,10,0.046113508,1
145,MD,2017,16451006,1317295,72071,,12,8,10,0.044068583,1
146,MD,2018,21167143,1264167,80066,,12,8,9,0.042962433,1
147,MI,2012,86702561,5336041,366613,139646,3,4,10,0.0491358,0
148,MI,2013,86550707,5586197,353749,45773,3,4,8,0.044542078,0
149,MI,2014,82699993,5421273,330008,74147,3,4,8,0.043429556,0
150,MI,2015,84479047,5574449,332773,68719,6,4,8,0.0436624,0
151,MI,2016,78025779,5053373,271911,44004,6,4,8,0.043899302,0
152,MI,2017,77149826,5059254,259647,77812,5,5,8,0.04098324,0
153,MI,2018,80126355,5066172,279857,30342,5,5,8,0.040809473,0
154,MS,2012,32885297,2264700,1519285,,10,2,2,0.044226767,1
155,MS,2013,32335211,2238509,1334771,,10,3,1,0.040466067,1
156,MS,2014,34415847,2202670,1200217,,9,3,1,0.040014767,1
157,MS,2015,35332765,2140828,1443999,,9,2,1,0.038505067,1
158,MS,2016,36295814,2181377,1432988,,8,2,1,0.0409935,1
159,MS,2017,34324395,2271937,1589113,,8,2,1,0.038317233,1
160,MS,2018,36716338,2386394,1236904,,9,2,1,0.0399461,1
161,MO,2012,86003625,1839248,758133,296442,7,6,1,0.05088542,1
162,MO,2013,87289690,1676023,739760,298193,7,5,1,0.044360826,1
163,MO,2014,84354810,1662850,824138,326229,9,6,1,0.042777957,1
164,MO,2015,77714158,1640909,887448,427188,9,6,1,0.04163971,1
165,MO,2016,72888768,1641938,794518,58260,10,4,1,0.040954659,1
166,MO,2017,79109488,1656937,730627,5212,10,6,0,0.04369379,1
167,MO,2018,76718134,1646436,580773,185827,10,6,0,0.043296871,1
168,MT,2012,20641088,456949,87893,,9,9,0,0.041792625,1
169,MT,2013,21439769,367015,91817,,7,9,0,0.040670367,1
170,MT,2014,22054585,406595,96523,,7,9,0,0.038956833,1
171,MT,2015,22596264,453092,97662,,8,9,0,0.040519958,1
172,MT,2016,20661798,356115,89273,,8,9,0,0.038998625,1
173,MT,2017,19707625,314809,84666,,9,9,0,0.044042818,1
174,MT,2018,19396913,344335,82483,,8,9,0,0.043010583,1
175,MT,2012,20641088,456949,87893,,9,9,0,0.041792625,1
176,MT,2013,21439769,367015,91817,,7,9,0,0.040670367,1
177,MT,2014,22054585,406595,96523,,7,9,0,0.038956833,1
178,MT,2015,22596264,453092,97662,,8,9,0,0.040519958,1
179,MT,2016,20661798,356115,89273,,8,9,0,0.038998625,1
180,MT,2017,19707625,314809,84666,,9,9,0,0.044042818,1
181,MT,2018,19396913,344335,82483,,8,9,0,0.043010583,1
182,NE,2012,31018718,1114917,134984,,7,9,4,0.046213778,1
183,NE,2013,32528945,1277553,144247,,6,8,4,0.040497,1
184,NE,2014,31062917,1158105,135190,,5,8,4,0.040344429,1
185,NE,2015,29908153,1294279,130436,,5,11,4,0.040872128,1
186,NE,2016,27619285,1199519,117471,,5,10,4,0.040405067,1
187,NE,2017,27892764,1108669,116528,,4,11,4,0.038855733,1
188,NE,2018,30233758,1234688,125940,,4,12,4,0.038139467,1
189,NV,2012,17826454,496772,32111,,10,3,2,0.048939163,1
190,NV,2013,18775510,463918,37835,,11,3,2,0.047109061,1
191,NV,2014,19236492,538342,43309,,12,3,2,0.047379225,1
192,NV,2015,17760630,471791,25524,,11,3,2,0.046326284,1
193,NV,2016,17054984,499520,22532,,10,3,2,0.046248076,1
194,NV,2017,15939566,366031,20297,,13,3,2,0.0465385,1
195,NV,2018,16649311,432306,23034,,12,2,2,0.047419156,1
196,NH,2012,4505405,284394,21371,,11,4,3,0.041659306,1
197,NH,2013,3607972,307094,21202,,12,3,3,0.040219306,1
198,NH,2014,3502545,276135,17655,,13,3,3,0.039470306,1
199,NH,2015,3719015,284444,15802,,12,3,3,0.039713278,1
200,NH,2016,2589861,297830,11081,,12,3,3,0.039185806,1
201,NH,2017,2066720,316978,10193,,12,2,3,0.038838167,1
202,NH,2018,2365246,346858,11679,,19,2,3,0.039102194,1
203,NJ,2012,21814712,2652019,60020,839587,13,9,5,0.045475118,1
204,NJ,2013,20982998,2583661,57899,980614,14,9,4,0.042811765,1
205,NJ,2014,23815406,2506996,63543,732603,14,9,3,0.041987373,1
206,NJ,2015,24981706,2459576,60197,632763,15,9,3,0.043849014,1
207,NJ,2016,26700463,2292652,59419,35575,14,9,3,0.042703653,1
208,NJ,2017,23613618,2112771,56798,79242,14,9,3,0.040170137,1
209,NJ,2018,23525530,1951383,54942,40939,15,10,2,0.040097882,1
210,NM,2012,37529212,425206,156159,155136,10,10,0,0.047948346,1
211,NM,2013,37890759,382803,148671,97960,10,9,0,0.046715062,1
212,NM,2014,34003709,331084,131842,108686,8,10,0,0.044306287,1
213,NM,2015,33763121,406460,129307,90305,8,11,0,0.044488829,1
214,NM,2016,29642726,320696,110361,44421,8,11,0,0.046351697,1
215,NM,2017,29187918,294671,115072,37886,8,11,0,0.047265683,1
216,NM,2018,26092754,345325,88219,36895,7,11,0,0.04854,1
217,NY,2012,37142402,1587567,67802,,11,19,11,0.040877333,1
218,NY,2013,35461423,1501297,66313,,13,18,9,0.039956385,1
219,NY,2014,36008485,1515629,137351,,12,18,9,0.038954031,1
220,NY,2015,35213386,1459690,55394,,13,15,9,0.040114698,1
221,NY,2016,32511695,1362805,48874,,13,15,9,0.040814073,1
222,NY,2017,27033104,1351052,41362,,14,15,9,0.039371677,1
223,NY,2018,29836819,1267307,42640,,15,14,9,0.039713129,1
224,NC,2012,59757499,435931,374837,,12,17,6,0.045276681,1
225,NC,2013,58214745,351815,270236,,13,17,3,0.040589099,1
226,NC,2014,60095259,371892,280295,,14,12,3,0.043474877,1
227,NC,2015,55864303,339930,239811,,14,12,3,0.043912667,1
228,NC,2016,55212348,337740,230756,,13,11,3,0.044423958,1
229,NC,2017,50936585,319458,216204,,13,11,3,0.042753758,1
230,NC,2018,52056727,310039,205281,,16,11,3,0.042699392,1
231,ND,2012,36414357,174008,158737,,7,12,0,0.043595833,1
232,ND,2013,35334547,213456,151714,,6,10,0,0.041798037,1
233,ND,2014,34796533,144686,152622,,6,9,0,0.039820407,1
234,ND,2015,37533586,188692,156554,,6,9,0,0.042511788,1
235,ND,2016,36983202,159920,149731,,6,9,0,0.038131697,1
236,ND,2017,36772887,299098,148798,,6,9,0,0.040802889,1
237,ND,2018,39041450,169023,153786,,6,8,0,0.041941256,1
238,OH,2012,108808862,1227811,841533,,4,6,4,0.04902551,1
239,OH,2013,113331166,1198949,850087,,5,6,4,0.042429582,1
240,OH,2014,111883495,1299228,898645,,5,6,4,0.042883033,1
241,OH,2015,97336368,1054992,617872,,5,5,4,0.043310797,1
242,OH,2016,93873298,987543,668018,,5,7,4,0.044767586,1
243,OH,2017,94212502,991191,666335,,4,6,4,0.042456281,1
244,OH,2018,90884528,924515,643921,,4,6,4,0.042335282,1
245,OK,2012,65777100,711635,1711635,,9,12,4,0.049365813,1
246,OK,2013,63332586,1037873,1792028,,11,15,4,0.044377627,1
247,OK,2014,61707675,851278,1931443,,11,11,4,0.043243773,1
248,OK,2015,58746925,777622,2007579,,13,11,4,0.041990972,1
249,OK,2016,54332966,776781,1844096,,15,11,4,0.042449074,1
250,OK,2017,49255301,761427,2155494,,14,11,3,0.042880481,1
251,OK,2018,52124663,806791,2146966,,13,10,3,0.042340427,1
252,OR,2012,8825709,108590,58950,,13,10,7,0.039922233,1
253,OR,2013,11063257,94276,35053,,16,10,7,0.036972833,1
254,OR,2014,10040937,90292,31354,,16,9,6,0.03801997,1
255,OR,2015,10641403,82552,23947,,15,8,5,0.041077242,1
256,OR,2016,9811265,77894,17868,,16,8,5,0.035676273,1
257,OR,2017,9730527,117317,17501,,24,9,5,0.039871545,1
258,OR,2018,10574390,80124,17235,,24,6,5,0.037250056,1
259,PA,2012,121277456,1654045,514169,407457,8,15,7,0.046024594,0
260,PA,2013,121724156,1655928,490437,294599,7,15,7,0.043116126,1
261,PA,2014,115420548,1676873,455459,277990,8,14,6,0.042373994,1
262,PA,2015,106500320,1588828,377547,308212,8,14,6,0.043875226,1
263,PA,2016,98685459,1504289,324819,274594,8,12,6,0.043498781,1
264,PA,2017,93276708,1463941,292633,453565,7,11,6,0.041936123,1
265,PA,2018,90824865,1420164,276728,170441,7,11,6,0.040468547,1
266,RI,2012,3427525,180508,1891,,9,3,1,0.046755,1
267,RI,2013,2554179,174142,1484,,10,3,1,0.045259222,1
268,RI,2014,2555622,169250,1485,,13,3,1,0.043455111,1
269,RI,2015,2829518,163071,1660,,14,4,1,0.045234556,1
270,RI,2016,2601338,155431,1461,,12,5,1,0.043523481,1
271,RI,2017,2966472,153355,1693,,14,5,1,0.040969111,1
272,RI,2018,3258328,147446,1890,,14,5,1,0.042435111,1
273,SC,2012,38351150,223743,297182,,9,12,2,0.042021029,1
274,SC,2013,32952572,139528,172875,,9,10,0,0.03742329,1
275,SC,2014,37146631,157362,197086,,11,11,0,0.040436079,1
276,SC,2015,34246335,137345,172357,,10,11,0,0.040263651,1
277,SC,2016,32740994,137979,161003,,10,11,0,0.042312639,1
278,SC,2017,29349588,121817,142390,,10,10,0,0.04019486,1
279,SC,2018,33186542,124580,149179,,10,10,0,0.039689947,1
280,SD,2012,4011527,9709,17381,,11,6,0,0.051179444,1
281,SD,2013,4120759,9882,17064,,9,6,0,0.046059833,1
282,SD,2014,3973438,9359,16160,,8,6,0,0.040149111,1
283,SD,2015,2887027,5743,9870,,8,6,0,0.04429375,1
284,SD,2016,3584618,7949,13678,,8,6,0,0.042856083,1
285,SD,2017,3510990,7623,13681,,7,6,0,0.040755889,1
286,SD,2018,3814483,8401,14443,,7,6,0,0.040821444,1
287,TN,2012,47676941,378181,267153,,13,8,3,0.048441467,1
288,TN,2013,44278692,367638,219159,,13,9,3,0.042650514,1
289,TN,2014,46922528,397387,232696,,13,8,2,0.043175947,1
290,TN,2015,42745111,380573,204303,,14,8,2,0.042307173,1
291,TN,2016,44506290,440109,211198,,12,8,1,0.045750101,1
292,TN,2017,41691637,296353,191981,,13,7,1,0.04310387,1
293,TN,2018,35850746,239824,155595,,13,8,1,0.042504449,1
294,TX,2012,368923156,4661489,2638464,29501,11,15,11,0.041530895,2
295,TX,2013,382325465,4296603,2476208,26263,13,14,10,0.040636835,2
296,TX,2014,382047256,4543218,3646756,13611,13,14,13,0.038483779,2
297,TX,2015,371615241,4029956,3135715,10538,13,10,10,0.038828336,2
298,TX,2016,361882662,4527455,2362572,13776,12,9,10,0.038765969,2
299,TX,2017,365430543,3877930,2254594,10524,13,11,10,0.039280401,2
300,TX,2018,364771258,3863422,2062643,11048,13,10,10,0.037963128,2
301,UT,2012,36532737,468041,235496,,12,5,4,0.057066118,1
